# nom TikZ	hex clair	variable CSS	hex sombre
QInk	16212B	--fig-ink	E3EAF0
QLine	2E4A62	--fig-line	9DB6CB
QMuted	5A6773	--fig-muted	98A6B3
QPaper	FFFFFF	--fig-paper	141E27
QBleu	1F5F99	--fig-bleu	6FA6DC
QBleuBg	E8F0F7	--fig-bleu-bg	172838
QOrange	D9622B	--fig-orange	EE8150
QOrangeBg	FBEDE4	--fig-orange-bg	2E1F16
QVert	3C7A4A	--fig-vert	74B083
QVertBg	E7F2EA	--fig-vert-bg	16291C
QBrique	A63D2A	--fig-brique	D06A55
QBriqueBg	F6E6E2	--fig-brique-bg	2E1A16
QSarcelle	16707A	--fig-sarcelle	56AEB8
QSarcelleBg	E2F1F2	--fig-sarcelle-bg	10282B
QBordeaux	7A2940	--fig-bordeaux	C0677F
QBordeauxBg	F4E4E9	--fig-bordeaux-bg	2B1820
QOcre	B07A12	--fig-ocre	D9A745
QOcreBg	F7EFDC	--fig-ocre-bg	2B2412
QViolet	5B4A8B	--fig-violet	9C8BD0
QVioletBg	ECE9F4	--fig-violet-bg	211D33
QGris	5F6B76	--fig-gris	8C98A3
QGrisBg	EEF0F2	--fig-gris-bg	1D2831
